Name,BSE Code,NSE Code,Market Capitalization
One 97,543396,PAYTM,79568.27
IndusInd Bank,532187,INDUSINDBK,79378.04
Dabur India,500096,DABUR,78878.78
NHPC Ltd,533098,NHPC,78742.96
Adani Total Gas,542066,ATGL,78625.45
NTPC Green Ene.,544289,NTPCGREEN,78558.72
Info Edg.(India),532777,NAUKRI,77424.66
Nippon Life Ind.,540767,NAM-INDIA,77316.46
Havells India,517354,HAVELLS,76826.07
Bharti Hexacom,544162,BHARTIHEXA,76547.5
Persistent Systems,533179,PERSISTENT,76017.38
Yes Bank,532648,YESBANK,74763.27
JSW Infrast,543994,JSWINFRA,74746.45
NMDC,526371,NMDC,74334.79
Phoenix Mills,503100,PHOENIXLTD,73852.75
Suzlon Energy,532667,SUZLON,73833.94
Bajaj Housing,544252,BAJAJHFL,73216.27
PB Fintech.,543390,POLICYBZR,73050.26
Swiggy,544285,SWIGGY,72872.22
Fortis Health.,532843,FORTIS,72502.38
Prestige Estates,533274,PRESTIGE,72390.7
ICICI Pru Life,540133,ICICIPRULI,70892.51
Torrent Power,532779,TORNTPOWER,70387.77
Oberoi Realty,533273,OBEROIRLTY,69848
IDFC First Bank,539437,IDFCFIRSTB,69383.06
Oil India,533106,OIL,69350.42
Multi Comm. Exc.,534091,MCX,69236.64
S A I L,500113,SAIL,68112.38
Alkem Lab,539523,ALKEM,67496.87
Biocon,532523,BIOCON,66410.05
I O B,532388,IOB,65992.34
Uno Minda,532539,UNOMINDA,65854.4
Natl. Aluminium,532234,NATIONALUM,64603.53
Schaeffler India,505790,SCHAEFFLER,64393.98
General Insuranc,540755,GICRE,64316.3
Glenmark Pharma.,532296,GLENMARK,63833.82
Bank of Maha,532525,MAHABANK,63801.48
Coforge,532541,COFORGE,63528.19
Bank of India,532149,BANKINDIA,62804.04
Godrej Propert.,533150,GODREJPROP,62347.74
Linde India,523457,LINDEINDIA,60602.1
Coromandel Inter,506395,COROMANDEL,60428.22
HDB FINANC SER,544429,HDBFS,59874.31
Berger Paints,509480,BERGEPAINT,58999.74
MRF,500290,MRF,58185.73
RBL Bank,540065,RBLBANK,57397.3
Jindal Stain.,532508,JSL,57354.84
Motil.Oswal.Fin.,532892,MOTILALOFS,57161.81
Tube Investments,540762,TIINDIA,56947.81
SBI Cards,543066,SBICARD,56730.51
Abbott India,500488,ABBOTINDIA,56705.65
F A C T,590024,FACT,56243.51
Colgate-Palmoliv,500830,COLPAL,55784.24
Apar Inds.,532259,APARINDS,55541.51
Vishal Mega Mart,544307,VMM,55462.22
Max Financial,500271,MFSL,54973.33
Radico Khaitan,532497,RADICO,54928.62
Thermax,500411,THERMAX,54172.61
Tata Comm,500483,TATACOMM,53986.42
Sundaram Finance,590071,SUNDARMFIN,52917.65
Knowledge Realty,544481,KRT,51421.29
Altius Telecom,543225,,51382.21
Bharat Dynamics,541143,BDL,50596.64
APL Apollo Tubes,533758,APLAPOLLO,50575.48
UPL,512070,UPL,49946.51
Piramal Finance.,544597,PIRAMALFIN,49272.9
KEI Industries,517569,KEI,48134.9
Hindustan Copper,513599,HINDCOPPER,48012.79
Rail Vikas,542649,RVNL,47986.74
Page Industries,532827,PAGEIND,46836.94
Premier Energies,544238,PREMIERENE,46827.33
360 ONE,542772,360ONE,46567.51
Aegis Logistics,500003,AEGISLOG,46437.3
M & M Fin. Serv.,532720,M&MFIN,45924.65
Ipca Labs.,524494,IPCALAB,44942.44
Patanjali Foods,500368,PATANJALI,44824.64
Ather Energy,544397,ATHERENERG,44668.12
Mphasis,526299,MPHASIS,44046.68
Balkrishna Inds,502355,BALKRISIND,43950.68
Physicswallah,544609,PWL,43600.33
AIA Engineering,532683,AIAENG,43599.32
Authum Invest,539177,AIIL,43416.64
Anthem Bioscienc,544449,ANTHEM,43005.62
Embassy Off.REIT,542602,EMBASSY,42615.41
Gujarat Fluoroch,542812,FLUOROCHEM,42424.08
Voltas,500575,VOLTAS,42257.26
H U D C O,540530,HUDCO,42160.02
Aditya Infotech,544466,CPPLUS,42119.8
NLC India,513683,NLCINDIA,41904.17
Sona BLW Precis.,543300,SONACOMS,41862.92
J K Cements,532644,JKCEMENT,41639.45
Gland Pharma,543245,GLAND,41634.99
Ajanta Pharma,532331,AJANTPHARM,41473.02
Poonawalla Fin,524000,POONAWALLA,41427.49
Petronet LNG,532522,PETRONET,41257.5
Glaxosmi. Pharma,500660,GLAXO,41191.92
Aster DM Health.,540975,ASTERDM,41190.64
Godrej Industrie,500164,GODREJIND,41177.76
Narayana Hrudaya,539551,NH,41011.11
Welspun Corp,532144,WELCORP,40913.93
Supreme Inds.,509930,SUPREMEIND,40275.16
I R C T C,542830,IRCTC,40032
3M India,523395,3MINDIA,39742.25
P I Industries,523642,PIIND,39628.77
J B Chemicals &,506943,JBCHEPHARM,39457.29
Delhivery,543529,DELHIVERY,38846.49
Navin Fluo.Intl.,532504,NAVINFLUOR,38714.34
K P R Mill Ltd,532889,KPRMILL,38563.45
ITC Hotels,544325,ITCHOTELS,38555.93
Kalyan Jewellers,543278,KALYANKJIL,38552.16
Endurance Tech.,540153,ENDURANCE,37537.32
Cochin Shipyard,540678,COCHINSHIP,37428.44
Schneider Elect.,534139,SCHNEIDER,36732.93
Astral,532830,ASTRAL,36289.22
Exide Inds.,500086,EXIDEIND,35848.75
Global Health,543654,MEDANTA,35355.29
Container Corpn.,531344,CONCOR,35339.02
United Breweries,532478,UBL,35312.65
Bagmane Prime REIT,544758,BAGMANE,35271.6
Emcure Pharma,544210,EMCURE,35032
Indian Renewable,544026,IREDA,34834.43
Nuvama Wealth,543988,NUVAMA,34742.54
Star Health Insu,543412,STARHEALTH,34661.28
Anand Rathi Wea.,543415,ANANDRATHI,34495.09
Tata Inv.Corpn.,501301,TATAINVEST,34455.43
L&T Technology,540115,LTTS,34024.14
Krishna Institu.,543308,KIMS,33858.82
HFCL,500183,HFCL,33742.11
Honeywell Auto,517174,HONAUT,33547.8
Aditya AMC,543374,ABSLAMC,33518.68
Kirloskar Oil,533293,KIRLOSENG,33486.82
Dalmia BharatLtd,542216,DALBHARAT,33371.75
Escorts Kubota,500495,ESCORTS,33286.42
Godfrey Phillips,500163,GODFRYPHLP,33094.65
UCO Bank,532505,UCOBANK,33079.35
Blue Star,500067,BLUESTARCO,33044.34
Hexaware Tech.,544362,HEXT,32994.86
Bandhan Bank,541153,BANDHANBNK,32761.25
National High,543385,NHIT,32529.41
Mindspace Busine,543217,MINDSPACE,32442.97
Himadri Special,500184,HSCL,32399.17
Manappuram Fin.,531213,MANAPPURAM,32162.86
Aegis Vopak Term,544407,AEGISVOPAK,31926.78
Chola Financial,504973,CHOLAHLDNG,31865.83
Inventurus Knowl,544309,IKS,31737.95
Angel One,543235,ANGELONE,31096.18
Garden Reach Sh.,542011,GRSE,30848.3
New India Assura,540769,NIACL,30356.16
Wockhardt,532300,WOCKPHARMA,30352.71
Cupid,530843,CUPID,30194.35
LIC Housing Fin.,500253,LICHSGFIN,29868.44
Karur Vysya Bank,590003,KARURVYSYA,29546.14
Tata Technolog.,544028,TATATECH,29254.06
Central Bank,532885,CENTRALBK,29199.79
P & G Hygiene,500459,PGHH,28971.2
CRISIL,500092,CRISIL,28805.89
Apollo Tyres,500877,APOLLOTYRE,28738.3
TVS Holdings,520056,TVSHLTD,28670.42
Metro Brands,543426,METROBRAND,28665.68
Jubilant Food.,533155,JUBLFOOD,28660.33
Acutaas Chemical,543349,ACUTAAS,28473.11
PNB Housing,540173,PNBHOUSING,28427.78
C D S L,,CDSL,28405.19
Go Digit General,544179,GODIGIT,28292.81
Dr Lal Pathlabs,539524,LALPATHLAB,28196.66
Brookfield India,543261,BIRET,28141.26
ITI,523610,ITI,28023.11
SJVN,533206,SJVN,27881.9
ZF Commercial,533023,ZFCVINDIA,27514.76
Motherson Wiring,543498,MSUMI,27256.17
Gujarat Energy,539336,GUJENERGY,27208.72
Sterlite Tech.,532374,STLTECH,27141.43
Shyam Metalics,543299,SHYAMMETL,26886.01
Syrma SGS Tech.,543573,SYRMA,26839.13
Amber Enterp.,540902,AMBER,26757.62
NBCC,534309,NBCC,26271
PTC Industries,539006,PTCIL,26234.64
Sai Life,544306,SAILIFE,26231.13
ACME Solar Hold.,544283,ACMESOLAR,25984.67
M R P L,500109,MRPL,25885.91
ACC,500410,ACC,25763.48
Cemindia Project,509496,CEMPRO,25521.63
Gillette India,507815,GILLETTE,25461.61
R R Kabel,543981,RRKABEL,25364.44
CreditAcc. Gram.,541770,CREDITACC,25264.1
Data Pattern,543428,DATAPATTNS,24955.08
Nexus Select,543913,NXST,24879.35
Neuland Labs.,524558,NEULANDLAB,24618.81
IRB Infra.Devl.,532947,IRB,24590.8
Netweb Technol.,543945,NETWEB,24399.36
Force Motors,500033,FORCEMOT,24270.67
Timken India,522113,TIMKEN,24212.53
Craftsman Auto,543276,CRAFTSMAN,24001.8
AWL Agri Busine.,543458,AWL,23901.14
Sumitomo Chemi.,542920,SUMICHEM,23744.35
Aadhar Hsg. Fin.,544176,AADHARHFC,23703.65
Tenneco Clean,544612,TENNIND,23580.58
KIOCL,540680,KIOCL,23486.54
Capri Global,531595,CGCL,23096.5
Piramal Pharma,543635,PPLPHARMA,22985.69
Tata Elxsi,500408,TATAELXSI,22895.1
Kalpataru Proj.,522287,KPIL,22869.86
Emmvee Photovol.,544608,EMMVEE,22781.56
Rubicon Research,544578,RUBICON,22732.66
Grindwell Norton,506076,GRINDWELL,22677.1
IIFL Finance,532636,IIFL,22563.57
Asahi India Glas,515030,ASAHIINDIA,22432.34
Kaynes Tech,543664,KAYNES,22219.63
City Union Bank,532210,CUB,22139.14
CESC,500084,CESC,21938.21
The Ramco Cement,500260,RAMCOCEM,21897.2
MTAR Technologie,543270,MTARTECH,21839.46
HBL Engineering,517271,HBLENGINE,21551.88
Deepak Nitrite,506401,DEEPAKNTR,21503.72
Indraprastha Gas,532514,IGL,21392.02
Redington,532805,REDINGTON,21303.36
Granules India,532482,GRANULES,21280.82
Carborundum Uni.,513375,CARBORUNIV,21222.88
Urban Company,544515,URBANCO,21104.76
Thangamayil Jew.,533158,THANGAMAYL,21028.34
Pfizer,500680,PFIZER,21002.79
Cube Highways,543899,CUBEINVIT,20967.49
EIH,500840,EIHOTEL,20780.86
