Name,BSE Code,NSE Code,Market Capitalization
Tejas Networks,540595,TEJASNET,9806.35
Alkyl Amines,506767,ALKYLAMINE,9804.21
Railtel Corpn.,543265,RAILTEL,9762.95
Volt.Transform.,532757,VOLTAMP,9752.13
Banco Products,500039,BANCOINDIA,9715.78
Zee Entertainmen,505537,ZEEL,9701.22
Health.Global,539787,HCG,9699.41
Manorama Indust.,541974,MANORAMA,9640.02
Sigma Advanced System,532408,SIGMAADV,9605.93
Vedant Fashions,543463,MANYAVAR,9533.25
Lemon Tree Hotel,541233,LEMONTREE,9506.98
Jupiter Life Lin,543980,JLHL,9492.65
PC Jeweller,534809,PCJEWELLER,9477.48
Genus Power,530343,GENUSPOWER,9419.32
Vesuvius India,520113,VESUVIUS,9397.08
Cyient,532175,CYIENT,9383.73
NCC,500294,NCC,9295.26
ASK Automotive,544022,ASKAUTOLTD,9261.76
Sudeep Pharma,544619,SUDEEPPHRM,9208.71
Le Travenues,544192,IXIGO,9188.54
Pearl Global Ind,532808,PGIL,9177.01
Sky Gold & Diam.,541967,SKYGOLD,9137.58
Embassy Develop,532832,EMBDL,9008.51
Religare Enterp.,532915,RELIGARE,8994.68
Equitas Sma. Fin,543243,EQUITASBNK,8964.71
Saregama India,532163,SAREGAMA,8908.77
SPARC,532872,SPARC,8875.65
Bluestone Jewel,544484,BLUESTONE,8833.97
Bata India,500043,BATAINDIA,8816.97
Powergrid Infra.,543290,PGINVIT,8786.04
Eureka Forbes,543482,EUREKAFORB,8772.52
Quality Power El,544367,QPOWER,8746.56
Esab India,500133,ESABINDIA,8743.24
Tips Music,532375,TIPSMUSIC,8658.06
TTK Prestige,517506,TTKPRESTIG,8648.47
Time Technoplast,532856,TIMETECHNO,8633.69
Borosil Renew.,502219,BORORENEW,8593.74
G R Infraproject,543317,GRINFRA,8586.03
INDIA SHELTE FIN,544044,INDIASHLTR,8497.19
Jayaswal Neco,522285,JAYNECOIND,8474.87
KRBL,530813,KRBL,8462.04
Suven Life Scie.,530239,SUVEN,8455.68
Indo Count Inds.,521016,ICIL,8415.32
Welspun Enterp,532553,WELENT,8401.72
Clean Science,543318,CLEAN,8385.68
Aditya Vision,540205,AVL,8381.06
V2 Retail,532867,V2RETAIL,8373.9
Thyrocare Tech.,539871,THYROCARE,8358.55
Shreeji Ship. Gl,544490,SHREEJISPG,8355.28
Star Cement,540575,STARCEMENT,8303.9
Orkla India,544595,ORKLAINDIA,8300.87
Kama Holdings,532468,KAMAHOLD,8260.11
Sheela Foam,540203,SFL,8242.12
Sharda Cropchem,538666,SHARDACROP,8242.06
Power Mech Proj.,539302,POWERMECH,8239.83
Cera Sanitary.,532443,CERA,8173.88
Bajaj Consumer,533229,BAJAJCON,8140.13
Inox Green,543667,INOXGREEN,8063.97
Cello World,544012,CELLO,8062.32
Tata Tele. Mah.,532371,TTML,8058.2
Mah. Seamless,500265,MAHSEAMLES,8018.73
KRN Heat Exchan,544263,KRN,7985.93
Yatharth Hospit.,543950,YATHARTH,7977.65
NESCO,505355,NESCO,7973.23
RHI Magnesita,534076,RHIM,7955.48
KPI Green Energy,542323,KPIGREEN,7948.42
Mahindra Life.,532313,MAHLIFE,7941.67
Sanofi India,500674,SANOFI,7912.41
P N Gadgil Jewe.,544256,PNGJL,7854.79
GMR Urban,543490,GMRP&UI,7849.22
Safari Inds.,523025,SAFARI,7844.16
Mishra Dhatu Nig,541195,MIDHANI,7826.14
SKF India,500472,SKFINDIA,7812.42
Westlife Food,505533,WESTLIFE,7802.27
Indus Inf. Trust,544137,INDUSINVIT,7793.39
Birlasoft Ltd,532400,BSOFT,7784.06
EPL Ltd,500135,EPL,7773.64
E2E Networks,544783,E2E,7773.45
Sonata Software,532221,SONATSOFTW,7738.37
Pricol Ltd,540293,PRICOLLTD,7652.33
SG Mart,512329,SGMART,7610.62
Redtape,543957,REDTAPE,7587.29
Kirl. Ferrous,500245,KIRLFER,7583.88
Elantas Beck,500123,ELANTAS,7561.23
G N F C,500670,GNFC,7539.53
Kwality Wall's,544622,KWIL,7502.29
Sudarshan Chem.,506655,SUDARSCHEM,7459.62
GNG Electronics,544455,EBGNG,7454.05
R C F,524230,RCF,7445.09
Guj Pipavav Port,533248,GPPL,7442.54
Balaji Amines,530999,BALAMINES,7422.76
Guj. Ambuja Exp,524226,GAEL,7418.97
Birla Corpn.,500335,BIRLACORPN,7403.35
Dynamatic Tech.,505242,DYNAMATECH,7380.78
Max Estates,544008,MAXESTATES,7327.12
Indian Metals,533047,IMFA,7269.22
Aditya Bir. Fas.,535755,ABFRL,7252.25
Transport Corp.,532349,TCI,7229.43
Shakti Pumps,531431,SHAKTIPUMP,7197.83
Garware Tech.,509557,GARFIBRES,7174.45
Ganesh Housing,526367,GANESHHOU,7172.53
Bengal & Assam,533095,BENGALASM,7160.51
Prec. Wires (I),523539,PRECWIRE,7134.97
Tanla Platforms,532790,TANLA,7134.77
Jeena Sikho,544476,JSLL,7134.27
Galaxy Surfact.,540935,GALAXYSURF,7123.03
India Glycols,500201,INDIAGLYCO,7120.63
JK Lakshmi Cem.,500380,JKLAKSHMI,7100.43
SJS Enterprises,543387,SJS,7067.22
Sri Lotus,544469,LOTUSDEV,7064.49
Indiabulls,533520,IBULLSLTD,7035.21
Campus Activewe.,543523,CAMPUS,7013.22
FDC,531599,FDC,7009.75
Jyothy Labs,532926,JYOTHYLAB,6999.07
RaajMarg Infra,544734,RIIT,6988.2
Powerica Ltd,544744,POWERICA,6974.94
Rain Industries,500339,RAIN,6915.39
Dilip Buildcon,540047,DBL,6890.1
Dodla Dairy,543306,DODLA,6845.09
Kingfa Science,524019,KINGFA,6836.75
Suprajit Engg.,532509,SUPRAJIT,6806.15
Newgen Software,540900,NEWGEN,6778.48
Supriya Lifesci.,543434,SUPRIYA,6752.14
ISGEC Heavy,533033,ISGEC,6710.67
Ethos,543532,ETHOSLTD,6693.71
Transrail Light,544317,TRANSRAILL,6693.31
Vikram Solar,544488,VIKRAMSOLR,6625.65
Senores Pharma.,544319,SENORES,6580.78
Paisalo Digital,532900,PAISALO,6571.3
AXISCADES Tech.,532395,AXISCADES,6567.82
Nephrocare Health Services,544647,NEPHROPLUS,6563.26
JK Paper,532162,JKPAPER,6560.12
Kovai Medical,523323,KOVAI,6550.92
Praj Industries,522205,PRAJIND,6529.03
Citius Transnet,544753,CITIUSINVT,6525.17
Hindustan Foods,519126,HNDFDS,6520.36
Archean Chemical,543657,ACI,6503.18
Piccadily Agro,530305,PICCADIL,6464.35
Greenlam Industr,538979,GREENLAM,6462.91
Ceigall India,544223,CEIGALL,6454.3
G S F C,500690,GSFC,6407.54
NDR INVIT Trust,,NDRINVIT,6389.64
Alok Industries,521070,ALOKINDS,6325.72
V-Mart Retail,534976,VMART,6322.49
Kennametal India,505890,KENNAMET,6302.59
Aarti Pharma,543748,AARTIPHARM,6285.74
Skipper,538562,SKIPPER,6241.47
Shrem InvIT,,SHREMINVIT,6230.61
Omnitech Engg.,544720,OMNI,6209.88
Ashapura Minech.,527001,ASHAPURMIN,6194.9
Arvind Fashions.,542484,ARVINDFASN,6187.41
Hind.Construct.,500185,HCC,6166.21
Jai Balaji Inds.,532976,JAIBALAJI,6163.42
SIS,540673,SIS,6138.82
Latent View,543398,LATENTVIEW,6132.25
Gokaldas Exports,532630,GOKEX,6116.18
Gokul Agro,539725,GOKULAGRO,6115.67
TVS Supply,543965,TVSSCS,6108.11
CSB Bank,542867,CSBBANK,6091.08
Kalpat.,544423,KALPATARU,6085.8
Valor Estate,533160,DBREALTY,6039.69
PNC Infratech,539150,PNCINFRA,6032.55
Ajax Engineering,544356,AJAXENGG,6019.51
Sunflag Iron,500404,SUNFLAG,6007.61
Dhenu Buildcon,501945,,5999.06
I T D C,532189,ITDC,5994.43
GE Power,532309,GVPIL,5989.97
ASM Technologies,526433,,5989.44
Raghav Product.,539837,RPEL,5960.21
ION Exchange,500214,IONEXCHANG,5954.64
DCB Bank,532772,DCBBANK,5948.76
Unimech Aero.,544322,UNIMECH,5928.66
Sapphire Foods,543397,SAPPHIRE,5915.06
Fiem Industries,532768,FIEMIND,5876.8
Waterways Leisur,544802,CORDELIA,5849.51
MAS FINANC SER,540749,MASFIN,5844.61
AvenuesAI,539807,CCAVENUE,5825.41
Knowledge Marine,543273,KMEW,5782.36
Seshaasai Tech.,544533,STYL,5770.83
Prism Johnson,500338,PRSMJOHNSN,5768.5
Technocraf.Inds.,532804,TIIL,5744.85
Responsive Ind,505509,RESPONIND,5661.43
Surya Roshni,500336,SURYAROSNI,5658.55
Fedbank Financi.,544027,FEDFINA,5632.97
Innova Captab,544067,INNOVACAP,5610.08
Ahluwalia Contr.,532811,AHLUCONT,5600.16
Nirlon,500307,NIRLON,5597.36
Bliss GVS Pharma,506197,BLISSGVS,5557.35
MOIL,533286,MOIL,5557.2
SML Mahindra,505192,SMLMAH,5536.96
Sterling & Wils.,542760,SWSOLAR,5534.87
Balu Forge,531112,BALUFORGE,5477.21
Aeroflex,543972,AEROFLEX,5464.6
KSH Internationa,544664,KSHINTL,5439.77
Bansal Wire Inds,544209,BANSALWIRE,5418.4
Saatvik Green,544526,SAATVIKGL,5403.23
Senco Gold,543936,SENCO,5396.01
Neogen Chemicals,542665,NEOGEN,5386.53
Midwest Gold,526570,,5383.46
Jamna Auto Inds.,520051,JAMNAAUTO,5375.8
Subros,517168,SUBROS,5368.25
Greaves Cotton,501455,GREAVESCOT,5359.1
Standard Engineering Technology,544333,SETL,5342.38
Timex Group,500414,TIMEX,5324.6
Happiest Minds,543227,HAPPSTMNDS,5312.16
Centum Electron,517544,CENTUM,5288.83
Energy InfrTrust,542543,,5278.79
Keystone Realtor,543669,RUSTOMJEE,5271.15
Gulf Oil Lubric.,538567,GULFOILLUB,5269.32
Mrs Bectors,543253,BECTORFOOD,5264.87
Onemi Technology,544754,KISSHT,5212.03
Entero Healthcar,544122,ENTERO,5206.68
Smartworks Cowor,544447,SMARTWORKS,5202.93
Puravankara,532891,PURVA,5198.32
Electronics Mart,543626,EMIL,5176.81
Stylam Industrie,526951,STYLAMIND,5166.96
CMR Green Tech.,544777,CMRGREEN,5155.48
C.E. Info System,543425,MAPMYINDIA,5142.87
Lumax Industries,517206,LUMAXIND,5140.65
IFB Industries,505726,IFBIND,5118.49
Orchid Pharma,524372,ORCHPHARMA,5116.27
L G Balakrishnan,500250,LGBBROSLTD,5093.54
Sharda Motor,535602,SHARDAMOTR,5092.93
PTC India,532524,PTC,5080.99
Indigo Paints,543258,INDIGOPNTS,5078.91
ICRA,532835,ICRA,5076.55
Kusumgar,,,5049.14
NACL Industries,524709,NACLIND,5047.95
Datamatics Glob.,532528,DATAMATICS,5041.48
Zota Health Care,,ZOTA,5024.87
PDS,538730,PDSL,5011.31
Mastek,523704,MASTEK,5006.08
Tanfac Inds.,506854,,4997.13
Goldiam Intl.,526729,GOLDIAM,4990.98
M B Agro Prod.,,MBAPL,4981.6
Goodluck India,530655,GOODLUCK,4980.81
IOL Chemicals,524164,IOLCP,4975.27
Canara Robeco,544580,CRAMC,4967.48
CARE Ratings,534804,CARERATING,4961.77
Shilchar Tech.,531201,SHILCTECH,4948.11
Northern Arc,544260,NORTHARC,4945.36
Thomas Cook (I),500413,THOMASCOOK,4939.04
Sh.Renuka Sugar,532670,RENUKA,4921.07
Midwest,544587,MIDWESTLTD,4920.95
Rashi Peripheral,544119,RPTECH,4865.73
Netwrk.18 Media,532798,NETWORK18,4849.6
IRB InvIT Fund,540526,IRBINVIT,4848.53
Pilani Invest.,539883,PILANIINVS,4823.13
Dhanuka Agritech,507717,DHANUKA,4814.46
Avantel,532406,AVANTEL,4806.66
MSTC,542597,MSTCLTD,4793.9
Optiemus Infra.,530135,OPTIEMUS,4792.31
Sunteck Realty,512179,SUNTECK,4772.33
Symphony,517385,SYMPHONY,4771.97
RattanIndia Pow.,533122,RTNPOWER,4752.54
Refex Industries,532884,REFEX,4747.81
Texmaco Rail,533326,TEXRAIL,4746.09
Jana Small Finan,544118,JSFB,4729.29
Oswal Pumps,544418,OSWALPUMPS,4723.8
Electrost.Cast.,500128,ELECTCAST,4719.84
WPIL,505872,WPIL,4717.5
Just Dial,535648,JUSTDIAL,4708.76
Hawkins Cookers,508486,HAWKINCOOK,4708.4
Aurionpro Sol.,532668,AURIONPRO,4669.63
DEE Development,544198,DEEDEV,4645.49
Vadilal Inds.,519156,VADILALIND,4641.5
Mahindra Holiday,533088,MHRIL,4633.16
AGI Greenpac,500187,AGI,4599.34
Kaveri Seed Co.,532899,KSCL,4581.16
RattanIndia Ent,534597,RTNINDIA,4572.54
Swaraj Engines,500407,SWARAJENG,4553.76
Raymond Lifestyl,544240,RAYMONDLSL,4536.38
VST Industries,509966,VSTIND,4535.25
Rallis India,500355,RALLIS,4519.44
Mrugesh Trading,512065,,4509.53
Raymond Realty,544420,RAYMONDREL,4508.41
Pace Digitek,544550,PACEDIGITK,4496.21
Elitecon Inter.,539533,ELITECON,4483.78
Quess Corp,539978,QUESS,4465.11
SG Finserve,539199,SGFIN,4459.12
Moschip Tech.,532407,MOSCHIP,4447.54
The Anup Enginee,542460,ANUP,4426.76
Pondy Oxides,532626,POCL,4407.86
CMS Info Systems,543441,CMSINFO,4384.93
Bannari Amm.Sug.,500041,BANARISUG,4381.74
Websol Energy,517498,WEBELSOLAR,4363.36
Fineotex Chem,533333,FCL,4358.75
Epigral,543332,EPIGRAL,4348.65
Juniper Hotels,544129,JUNIPER,4346.57
Gujarat Alkalies,530001,GUJALKALI,4340.29
AGI Infra,539042,AGIIL,4339.92
Cyient DLM,543933,CYIENTDLM,4311.34
V I P Inds.,507880,VIPIND,4311.29
CIAN Agro,519477,,4303.25
Laxmi Organic,543277,LXCHEM,4289.86
Man Industries,513269,MANINDS,4257.91
PSP Projects,540544,PSPPROJECT,4253.17
Restaurant Brand,543248,RBA,4225.87
Share India Sec.,540725,SHAREINDIA,4223.31
Artemis Medicare,542919,ARTEMISMED,4212.51
Vaibhav Global,532156,VAIBHAVGBL,4209.79
Kirloskar Indus.,500243,KIRLOSIND,4209.26
RPG LifeScience.,532983,RPGLIFE,4199.91
John Cockerill,500147,COCKERILL,4189.62
Bajaj Hindusthan,500032,BAJAJHIND,4183.67
NRB Bearings,530367,NRBBEARING,4171.56
Sandhar Tech,541163,SANDHAR,4142.04
Aye Finance,544699,AYE,4137.31
Guj. Themis Bio.,506879,GUJTHEM,4129.77
V-Marc India,,VMARCIND,4118.8
Wakefit Innovati,544642,WAKEFIT,4108.51
Krishana Phosch.,,KRISHANA,4103.81
Raymond,500330,RAYMOND,4100.91
Capillary Tech.,544614,CAPILLARY,4098.37
VRL Logistics,539118,VRLLOG,4093.52
Man Infra,533169,MANINFRA,4091.14
Enviro Infra,544290,EIEL,4084.58
Indostar Capital,541336,INDOSTAR,4080.01
Shivalik Bimetal,513097,SBCL,4062.53
Vishnu Chemicals,516072,VISHNU,4054.07
Greenply Industr,526797,GREENPLY,4034.32
Sindhu Trade,532029,SINDHUTRAD,4019.79
JTEKT India,520057,JTEKTINDIA,4019.48
Sustainable Ener,,SEITINVIT,4009.5
Styrenix Perfor.,506222,STYRENIX,3986.44
Shoppers Stop,532638,SHOPERSTOP,3958.44
Hemisphere Prop,543242,HEMIPROP,3957.23
Dec.Gold Mines,512068,DECNGOLD,3955.13
SMS Pharma.,532815,SMSPHARMA,3937.14
Sanghvi Movers,530073,SANGHVIMOV,3929.25
VST Till. Tract.,531266,VSTTILLERS,3913.82
Kalyani Steels,500235,KSL,3898.87
GHCL,500171,GHCL,3897.09
TruAlt Bioenergy,544545,TRUALT,3881.17
Mahindra Logis.,540768,MAHLOG,3872.18
Turtlemint Fintech,544799,TURTLEMINT,3857.69
Foseco India,500150,FOSECOIND,3855.84
Harsha Engg Intl,543600,HARSHA,3850.27
Universal Cables,504212,UNIVCABLES,3848.43
Ashiana Housing,523716,ASHIANA,3844.05
Afcom Holdings,544224,,3839.88
Samhi Hotels,543984,SAMHI,3830.72
Steel Str. Wheel,513262,SSWL,3828.11
Savita Oil Tech,524667,SOTL,3826.37
Rolex Rings,543325,ROLEXRINGS,3820.85
KDDL Ltd,532054,KDDL,3818.93
Venus Pipes,543528,VENUSPIPES,3811.85
Gufic BioScience,509079,GUFICBIO,3800.72
Sanathan Textile,544314,SANATHAN,3800.29
Ram Ratna Wires,522281,RAMRAT,3789.99
Bajaj Electrical,500031,BAJAJELEC,3784.32
Lux Industries,539542,LUXIND,3776.09
Kesar India,543542,,3767.79
Mayur Uniquoters,522249,MAYURUNIQ,3765.15
Prem. Explosives,526247,PREMEXPLN,3741.27
J Kumar Infra,532940,JKIL,3710.27
Ideaforge Tech,543932,IDEAFORGE,3710.13
Kernex Microsys.,532686,KERNEX,3709.6
Ravindra Energy,504341,RELTD,3702.91
Bhagiradha Chem.,531719,BHAGCHEM,3700.09
Grauer & Weil,505710,GRAUWEIL,3694.4
Natl.Fertilizer,523630,NFL,3692.12
West Coast Paper,500444,WSTCSTPAPR,3691.22
Orient Electric,541301,ORIENTELEC,3683.72
TARC Ltd,543249,TARC,3682.77
Rossell Techsys,544294,ROSSTECH,3677.86
Ellen.Indl.Gas,544421,ELLEN,3675.61
Tour. Fin. Corp.,526650,TFCILTD,3663.07
Wheels India,590073,WHEELS,3654.56
Shanti Educat.,539921,SEIL,3645.04
Bosch Home Comfort,523398,BOSCH-HCIL,3639.78
SEAMEC Ltd,526807,SEAMECLTD,3633.51
H.G. Infra Engg.,541019,HGINFRA,3632.32
Hind Rectifiers,504036,HIRECT,3629.53
eMudhra,543533,EMUDHRA,3628.42
Indiqube Spaces,544454,INDIQUBE,3624.1
Muthoot Microfin,544055,MUTHOOTMF,3619.53
Fusion Finance,543652,FUSION,3617.69
Heidelberg Cem.,500292,HEIDELBERG,3608.81
Novartis India,500672,NOVARTIND,3605.96
Unichem Labs.,506690,UNICHEMLAB,3604.1
Anand Rathi Shar,544530,ARSSBL,3598.81
Advanced Enzyme,540025,ADVENZYMES,3597.8
KNR Construct.,532942,KNRCON,3568.85
Ashoka Buildcon,533271,ASHOKA,3568.01
D B Corp,533151,DBCORP,3565.99
Marine Electric.,,MARINE,3554.59
Pitti Engg.,513519,PITTIENG,3541.51
Welspun Special.,500365,WELSPLSOL,3540.37
Aarti Drugs,524348,AARTIDRUGS,3537.16
Bondada Engineer,543971,,3522.11
Crizac,544439,CRIZAC,3502.29
NIIT Learning,543952,NIITMTS,3477.06
Route Mobile,543228,ROUTE,3474.64
Indrapr.Medical,532150,INDRAMEDCO,3474.41
Yasho Industries,541167,YASHO,3463.76
GMM Pfaudler,505255,GMMPFAUDLR,3432.01
ADF Foods,519183,ADFFOODS,3427.77
Shanthi Gears,522034,SHANTIGEAR,3418.08
Rane (Madras),532661,RML,3417.33
MPS,532440,MPSLTD,3404.39
XPRO India,590013,XPROINDIA,3369.42
Panacea Biotec,531349,PANACEABIO,3356.55
Gopal Snacks,544140,GOPAL,3354.15
Morepen Labs.,500288,MOREPENLAB,3341.43
Sambhv Steel,544430,SAMBHV,3337.16
Network People,544396,NPST,3335.66
Navneet Educat.,508989,NAVNETEDUL,3307.12
Ramco Systems,532370,RAMCOSYS,3285.95
Jubilant Agri,544355,JUBLCPL,3266.88
Anzen IYEP Trust,543655,ANZEN,3247.63
Patel Engineerin,531120,PATELENG,3242.35
63 Moons Tech.,526881,63MOONS,3238.15
Kolte Patil Dev.,532924,KOLTEPATIL,3234.16
TVS Srichakra,509243,TVSSRICHAK,3227.19
Polyplex Corpn,524051,POLYPLEX,3207.83
Laser Power,,,3203.88
Carysil,524091,CARYSIL,3190.73
Euro Pratik Sale,544519,EUROPRATIK,3168.18
Steelcast,513517,STEELCAS,3162.51
Indo Tech.Trans.,532717,INDOTECH,3157.32
Ramco Inds.,532369,RAMCOIND,3114.18
Uflex,500148,UFLEX,3107.26
Nitin Spinners,532698,NITINSPIN,3106.17
Dishman Carbogen,540701,DCAL,3103.5
Pokarna,532486,POKARNA,3099.3
Chemplast Sanmar,543336,CHEMPLASTS,3098.94
JTL Industries,534600,JTLIND,3098.73
Kewal Kir.Cloth.,532732,KKCL,3098.52
Kitex Garments,521248,KITEX,3088.24
Jash Engineering,544402,JASH,3079.43
Spectrum Electr.,544386,SPECTRUM,3064.28
Balmer Lawrie,523319,BALMLAWRIE,3060.98
Interarch Build.,544232,INTERARCH,3059.76
Sasken Technol.,532663,SASKEN,3052.57
Heritage Foods,519552,HERITGFOOD,3052.03
Wonderla Holiday,538268,WONDERLA,3033.87
Bharat Bijlee,503960,BBL,3029.24
Concord Control,543619,,3011.13
RPSG Ventures,542333,RPSGVENT,3000.61
